Employee_Name,EmpID,PerfScoreID,FromDiversityJobFairID,Salary,Position,State,Zip,DOB,Age,Sex,MaritalDesc,CitizenDesc,DateofHire,DateofTermination,AttritionCount,EmploymentStatus,Department,ManagerName,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,DaysLateLast30,Absences
"Salter, Jason",10229,3,0,88527,Data Analyst ,MA,2452,17-12-1987,35,M ,Divorced,US Citizen,05-01-2015,31-10-2015,1,Voluntarily Terminated,IT/IS,Simon Roup,LinkedIn,Fully Meets,4.2,3,5,0,2
"Sander, Kamrin",10169,3,0,56147,Production Technician I,MA,2154,10-07-1988,35,F,Married,US Citizen,29-09-2014,,0,Active,Production       ,Elijiah Gray,LinkedIn,Fully Meets,3.51,3,0,0,2
"Sewkumar, Nori",10071,3,0,50923,Production Technician I,MA,2191,10-03-1975,48,F,Single,US Citizen,30-09-2013,,0,Active,Production       ,Webster Butler,Google Search,Fully Meets,5,5,0,0,14
"Shepard, Anita",10179,3,0,50750,Network Engineer,MA,1773,14-04-1981,42,F,Married,US Citizen,30-09-2014,,0,Active,IT/IS,Peter Monroe,LinkedIn,Fully Meets,3.31,3,6,0,7
"Shields, Seffi",10091,3,0,52087,Production Technician I,MA,2149,24-08-1985,38,F,Married,US Citizen,19-08-2013,,0,Active,Production       ,Amy Dunn,LinkedIn,Fully Meets,4.81,4,0,0,15
"Simard, Kramer",10178,3,0,87826,Data Analyst,MA,2110,08-02-1970,53,M ,Married,US Citizen,05-01-2015,,0,Active,IT/IS,Simon Roup,Employee Referral,Fully Meets,3.32,3,7,0,16
"Singh, Nan",10039,3,0,51920,Administrative Assistant,MA,2330,19-05-1988,35,F,Single,US Citizen,01-05-2015,,0,Active,Admin Offices,Brandon R. LeBlanc,Website,Fully Meets,5,3,5,0,2
"Sloan, Constance",10095,3,0,63878,Production Technician II,MA,1851,25-11-1987,35,F,Single,US Citizen,26-10-2009,08-04-2015,1,Voluntarily Terminated,Production       ,Michael Albert,CareerBuilder,Fully Meets,4.68,4,0,0,20
"Smith, Joe",10027,4,0,60656,Production Technician II,MA,2045,30-10-1963,60,M ,Single,US Citizen,29-09-2014,,0,Active,Production       ,Elijiah Gray,Indeed,Exceeds,4.3,3,0,0,4
"Smith, John",10291,2,1,72992,Sales Manager,MA,1886,16-08-1984,39,M ,Divorced,US Citizen,18-05-2014,,0,Active,Sales,Debra Houlihan,Diversity Job Fair,Needs Improvement,2.4,4,0,2,16
"Smith, Leigh Ann",10153,3,1,55000,Administrative Assistant,MA,1844,14-06-1987,36,F,Married,US Citizen,26-09-2011,25-09-2013,1,Voluntarily Terminated,Admin Offices,Brandon R. LeBlanc,Diversity Job Fair,Fully Meets,3.8,4,4,0,17
"Smith, Sade",10157,3,0,58939,Production Technician I,MA,2130,02-02-1965,58,F,Single,US Citizen,11-11-2013,,0,Active,Production       ,Ketsia Liebig,Employee Referral,Fully Meets,3.73,3,0,0,16
"Soto, Julia",10119,3,0,66593,IT Support,MA,2360,12-03-1973,50,F,Married,US Citizen,10-06-2011,,0,Active,IT/IS,Eric Dougall,LinkedIn,Fully Meets,4.3,3,5,0,19
"Soze, Keyser",10180,3,0,87565,Sr. Network Engineer,MA,1545,09-02-1983,40,M ,Married,US Citizen,30-06-2016,,0,Active,IT/IS,Peter Monroe,LinkedIn,Fully Meets,3.27,4,5,0,13
"Sparks, Taylor",10302,1,0,64021,Production Technician I,MA,2093,20-07-1968,55,F,Married,US Citizen,20-02-2012,,0,Active,Production       ,Brannon Miller,Indeed,PIP,2.4,2,1,6,20
"Spirea, Kelley",10090,3,0,65714,Production Manager,MA,2451,30-09-1975,48,F,Married,US Citizen,02-10-2012,,0,Active,Production       ,Janet King,LinkedIn,Fully Meets,4.83,5,0,0,15
"Squatrito, Kristen",10030,4,0,62425,Production Technician I,MA,2359,26-03-1973,50,F,Divorced,US Citizen,13-05-2013,29-06-2015,1,Voluntarily Terminated,Production       ,David Stanley,LinkedIn,Exceeds,4.1,4,0,0,16
"Stanford,Barbara M",10278,3,0,47961,Production Technician I,MA,2050,25-08-1982,41,F,Divorced,US Citizen,10-01-2011,,0,Active,Production       ,Kissy Sullivan,Google Search,Fully Meets,4.1,4,0,0,9
"Stansfield, Norman",10307,1,0,58273,Area Sales Manager,NV,89139,09-05-1974,49,M ,Married,US Citizen,12-05-2014,,0,Active,Sales,Lynn Daneault,Website,PIP,1.81,2,0,3,5
"Steans, Tyrone",10147,3,0,63003,Accountant I,MA,2703,01-09-1986,37,M ,Single,US Citizen,29-09-2014,,0,Active,Admin Offices,Brandon R. LeBlanc,Indeed,Fully Meets,3.9,5,5,0,9
"Stoica, Rick",10266,3,0,61355,Production Technician I,MA,2301,14-03-1985,38,M ,Married,US Citizen,17-02-2014,,0,Active,Production       ,Kelley Spirea,LinkedIn,Fully Meets,4.7,3,0,0,4
"Strong, Caitrin",10241,3,0,60120,Area Sales Manager,MT,59102,12-05-1989,34,F,Married,US Citizen,27-09-2010,,0,Active,Sales,John Smith,Indeed,Fully Meets,4.1,4,0,0,18
"Sullivan, Kissy",10158,3,0,63682,Production Manager,MA,1776,28-03-1978,45,F,Married,US Citizen,08-01-2009,,0,Active,Production       ,Janet King,Indeed,Fully Meets,3.73,4,0,0,12
"Sullivan, Timothy",10117,3,0,63025,Production Technician I,MA,2747,07-10-1982,41,M ,Married,US Citizen,05-01-2015,,0,Active,Production       ,Michael Albert,Google Search,Fully Meets,4.36,5,0,0,10
"Sutwell, Barbara",10209,3,0,59238,Production Technician I,MA,2718,15-08-1968,55,F,Single,Eligible NonCitizen,14-05-2012,,0,Active,Production       ,Elijiah Gray,Indeed,Fully Meets,3.4,5,0,0,13
"Szabo, Andrew",10024,4,0,92989,Software Engineer,MA,2140,06-05-1983,40,M ,Single,US Citizen,07-07-2014,,0,Active,Software Engineering,Alex Sweetwater,LinkedIn,Exceeds,4.5,5,5,0,1
"Tannen, Biff",10173,3,0,90100,BI Developer,MA,2134,24-10-1987,36,M ,Married,US Citizen,20-04-2017,,0,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,3.4,3,6,0,14
"Tavares, Desiree",10221,3,1,60754,Production Technician I,MA,1801,03-04-1975,48,F,Married,Non-Citizen,27-04-2009,01-04-2013,1,Voluntarily Terminated,Production       ,Webster Butler,Diversity Job Fair,Fully Meets,4.5,5,0,0,11
"Tejeda, Lenora",10146,3,0,72202,Production Technician II,MA,2129,24-05-1953,70,F,Married,US Citizen,16-05-2011,08-07-2017,1,Voluntarily Terminated,Production       ,Elijiah Gray,Google Search,Fully Meets,3.93,3,0,0,3
"Terry, Sharlene",10161,3,0,58370,Area Sales Manager,OR,97756,07-05-1965,58,F,Single,US Citizen,29-09-2014,,0,Active,Sales,Lynn Daneault,Indeed,Fully Meets,3.69,3,0,0,18
"Theamstern, Sophia",10141,3,0,48413,Production Technician I,MA,2066,09-05-1965,58,F,Single,US Citizen,05-07-2011,05-09-2016,1,Voluntarily Terminated,Production       ,Amy Dunn,Indeed,Fully Meets,3.98,4,0,0,1
"Thibaud, Kenneth",10268,3,0,67176,Production Technician II,MA,2472,16-09-1975,48,M ,Widowed,US Citizen,25-06-2007,30-08-2010,1,Voluntarily Terminated,Production       ,Webster Butler,Other,Fully Meets,4.1,4,0,0,15
"Tippett, Jeanette",10123,3,0,56339,Production Technician I,MA,2093,05-06-1967,56,F,Divorced,US Citizen,18-02-2013,,0,Active,Production       ,Brannon Miller,Indeed,Fully Meets,4.21,5,0,0,4
"Torrence, Jack",10013,4,0,64397,Area Sales Manager,ND,58782,15-01-1968,55,M ,Separated,US Citizen,09-01-2006,,0,Active,Sales,Lynn Daneault,Indeed,Exceeds,4.1,3,0,0,6
"Trang, Mei",10287,2,0,63025,Production Technician I,MA,2021,16-05-1983,40,F,Single,US Citizen,17-02-2014,,0,Active,Production       ,David Stanley,LinkedIn,Needs Improvement,2.44,5,0,4,18
"Tredinnick, Neville",10044,3,0,75281,Network Engineer,MA,1420,05-05-1988,35,M ,Married,US Citizen,05-01-2015,12-02-2016,1,Voluntarily Terminated,IT/IS,Peter Monroe,CareerBuilder,Fully Meets,5,3,5,0,11
"True, Edward",10102,3,1,100416,Software Engineer,MA,2451,14-06-1983,40,M ,Single,Non-Citizen,18-02-2013,15-04-2018,1,Voluntarily Terminated,Software Engineering,Alex Sweetwater,Diversity Job Fair,Fully Meets,4.6,3,4,0,9
"Trzeciak, Cybil",10270,3,0,74813,Production Technician II,MA,1778,15-03-1985,38,F,Single,US Citizen,10-01-2011,02-07-2014,1,Voluntarily Terminated,Production       ,Amy Dunn,LinkedIn,Fully Meets,4.4,3,0,0,5
"Turpin, Jumil",10045,3,0,76029,Network Engineer,MA,2343,31-03-1969,54,M ,Married,Eligible NonCitizen,30-03-2015,,0,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,5,4,7,0,8
"Valentin,Jackie",10205,3,0,57859,Area Sales Manager,AZ,85006,23-05-1991,32,F,Married,US Citizen,05-07-2011,,0,Active,Sales,John Smith,Indeed,Fully Meets,2.81,3,0,0,16
"Veera, Abdellah",10014,4,0,58523,Production Technician I,MA,2171,31-01-1987,36,M ,Divorced,US Citizen,13-08-2012,05-02-2016,1,Voluntarily Terminated,Production       ,Kissy Sullivan,LinkedIn,Exceeds,4.5,5,0,0,15
"Vega, Vincent",10144,3,0,88976,Production Manager,MA,2169,10-10-1968,55,M ,Divorced,US Citizen,01-08-2011,,0,Active,Production       ,Janet King,Employee Referral,Fully Meets,3.93,3,0,0,19
"Villanueva, Noah",10253,3,0,55875,Area Sales Manager,ME,4063,11-07-1989,34,M ,Single,US Citizen,05-03-2012,,0,Active,Sales,John Smith,Website,Fully Meets,4.5,4,0,0,11
"Voldemort, Lord",10118,3,0,113999,Database Administrator,MA,1960,07-08-1986,37,M ,Married,US Citizen,16-02-2015,22-02-2017,1,Terminated for Cause,IT/IS,Simon Roup,Employee Referral,Fully Meets,4.33,3,7,0,9
"Volk, Colleen",10022,4,0,49773,Production Technician I,MA,2747,03-06-1986,37,F,Married,US Citizen,26-09-2011,08-02-2016,1,Terminated for Cause,Production       ,Kelley Spirea,Google Search,Exceeds,4.3,5,0,0,18
"Von Massenbach, Anna",10183,3,0,62068,Production Technician I,MA,2124,06-04-1985,38,F,Single,US Citizen,05-07-2015,,0,Active,Production       ,Michael Albert,LinkedIn,Fully Meets,3.21,3,0,0,7
"Walker, Roger",10190,3,0,66541,Production Technician II,MA,2459,10-02-1976,47,M ,Single,US Citizen,18-08-2014,,0,Active,Production       ,Ketsia Liebig,Employee Referral,Fully Meets,3.11,5,0,0,4
"Wallace, Courtney E",10274,3,1,80512,Production Manager,MA,2478,14-11-1955,68,F,Married,US Citizen,26-09-2011,02-01-2012,1,Voluntarily Terminated,Production       ,Janet King,Diversity Job Fair,Fully Meets,4.5,3,0,0,5
"Wallace, Theresa",10293,2,0,50274,Production Technician I,MA,1887,02-08-1980,43,F,Single,US Citizen,13-08-2012,01-09-2015,1,Voluntarily Terminated,Production       ,Elijiah Gray,CareerBuilder,Needs Improvement,2.5,3,0,6,13
"Wang, Charlie",10172,3,0,84903,Senior BI Developer,MA,1887,08-07-1981,42,M ,Single,US Citizen,15-02-2017,,0,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,3.42,4,7,0,17
"Warfield, Sarah",10127,3,0,107226,Sr. Network Engineer,MA,2453,02-05-1978,45,F,Widowed,US Citizen,30-03-2015,,0,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,4.2,4,8,0,7
"Whittier, Scott",10072,3,0,58371,Production Technician I,MA,2030,24-05-1987,36,M ,Single,US Citizen,10-01-2011,15-05-2014,1,Voluntarily Terminated,Production       ,Webster Butler,LinkedIn,Fully Meets,5,5,0,0,11
"Wilber, Barry",10048,3,0,55140,Production Technician I,MA,2324,09-09-1965,58,M ,Married,Eligible NonCitizen,16-05-2011,07-09-2015,1,Voluntarily Terminated,Production       ,Amy Dunn,Website,Fully Meets,5,3,0,0,7
"Wilkes, Annie",10204,3,0,58062,Production Technician I,MA,1876,30-07-1983,40,F,Divorced,US Citizen,10-01-2011,14-05-2012,1,Voluntarily Terminated,Production       ,Ketsia Liebig,Google Search,Fully Meets,3.6,5,0,0,9
"Williams, Jacquelyn",10264,3,1,59728,Production Technician I,MA,2109,02-10-1969,54,F,Single,US Citizen,09-01-2012,27-06-2015,1,Voluntarily Terminated,Production       ,Ketsia Liebig,Diversity Job Fair,Fully Meets,4.3,4,0,0,16
"Winthrop, Jordan",10033,4,0,70507,Production Technician II,MA,2045,07-11-1958,65,M ,Single,US Citizen,07-01-2013,21-02-2016,1,Voluntarily Terminated,Production       ,Brannon Miller,LinkedIn,Exceeds,5,3,0,0,7
"Wolk, Hang T",10174,3,0,60446,Production Technician II,MA,2302,20-04-1985,38,F,Single,US Citizen,29-09-2014,,0,Active,Production       ,David Stanley,LinkedIn,Fully Meets,3.4,4,0,0,14
"Woodson, Jason",10135,3,0,65893,Production Technician II,MA,1810,11-05-1985,38,M ,Single,US Citizen,07-07-2014,,0,Active,Production       ,Kissy Sullivan,LinkedIn,Fully Meets,4.07,4,0,0,13
"Ybarra, Catherine",10301,1,0,48513,Production Technician I,MA,2458,04-05-1982,41,F,Single,US Citizen,02-09-2008,29-09-2015,1,Voluntarily Terminated,Production       ,Brannon Miller,Google Search,PIP,3.2,2,0,5,4
"Zamora, Jennifer",10010,4,0,220450,CIO,MA,2067,30-08-1979,44,F,Single,US Citizen,10-04-2010,,0,Active,IT/IS,Janet King,Employee Referral,Exceeds,4.6,5,6,0,16
"Zhou, Julia",10043,3,0,89292,Data Analyst,MA,2148,24-02-1979,44,F,Single,US Citizen,30-03-2015,,0,Active,IT/IS,Simon Roup,Employee Referral,Fully Meets,5,3,5,0,11
"Zima, Colleen",10271,3,0,45046,Production Technician I,MA,1730,17-08-1978,45,F,Widowed,US Citizen,29-09-2014,,0,Active,Production       ,David Stanley,LinkedIn,Fully Meets,4.5,5,0,0,2
